2026-05-01 22:05:25,013 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:25,022 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:25,023 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:25,027 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/auth
2026-05-01 22:05:25,029 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/user_info/38
2026-05-01 22:05:25,038 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/user_info/38
2026-05-01 22:05:25,040 | HTTP_CLIENT | INFO | Make PUT request to http://localhost:56733/user_info/38
2026-05-01 22:05:25,054 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/user_info/38
2026-05-01 22:05:25,055 | BASE_ASSERTIONS | INFO | Check that response status code equals to 200
2026-05-01 22:05:25,055 | USER_INFO_ASSERTIONS | INFO | Check update user info
2026-05-01 22:05:25,055 | BASE_ASSERTIONS | INFO | Check that "message" equals to "User info updated successfully."
2026-05-01 22:05:25,056 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
2026-05-01 22:05:25,057 | HTTP_CLIENT | INFO | Make GET request to http://localhost:56733/user_info/38
2026-05-01 22:05:25,103 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/user_info/38
2026-05-01 22:05:25,103 | BASE_ASSERTIONS | INFO | Check that response status code equals to 200
2026-05-01 22:05:25,104 | USER_INFO_ASSERTIONS | INFO | Check get user info
2026-05-01 22:05:25,104 | BASE_ASSERTIONS | INFO | Check that "city" equals to "Jaytown"
2026-05-01 22:05:25,104 | BASE_ASSERTIONS | INFO | Check that "street" equals to "Gary Trail"
2026-05-01 22:05:25,104 | BASE_ASSERTIONS | INFO | Check that "phone" equals to "2805546714388"
2026-05-01 22:05:25,104 | BASE_ASSERTIONS | INFO | Check that "email" equals to "christopher65@example.com"
