2026-05-01 22:05:24,827 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:24,933 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:24,934 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:24,940 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/auth
2026-05-01 22:05:24,943 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/user_info/36
2026-05-01 22:05:24,959 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/user_info/36
2026-05-01 22:05:24,960 | BASE_ASSERTIONS | INFO | Check that response status code equals to 200
2026-05-01 22:05:24,960 | USER_INFO_ASSERTIONS | INFO | Check add user info
2026-05-01 22:05:24,960 | BASE_ASSERTIONS | INFO | Check that "message" equals to "User info created successfully."
2026-05-01 22:05:24,961 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
2026-05-01 22:05:24,962 | HTTP_CLIENT | INFO | Make GET request to http://localhost:56733/user_info/36
2026-05-01 22:05:24,968 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/user_info/36
2026-05-01 22:05:24,969 | BASE_ASSERTIONS | INFO | Check that response status code equals to 200
2026-05-01 22:05:24,969 | USER_INFO_ASSERTIONS | INFO | Check get user info
2026-05-01 22:05:24,970 | BASE_ASSERTIONS | INFO | Check that "city" equals to "South Curtisshire"
2026-05-01 22:05:24,970 | BASE_ASSERTIONS | INFO | Check that "street" equals to "Jon Ferry"
2026-05-01 22:05:24,970 | BASE_ASSERTIONS | INFO | Check that "phone" equals to "0542601026927"
2026-05-01 22:05:24,970 | BASE_ASSERTIONS | INFO | Check that "email" equals to "smorris@example.org"
2026-05-01 22:05:24,972 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
